0,609408
4,007608
4,681117
4,630918
6,195644
8,314169
8,204978
8,675789
8,419126
9,613369
11,678175
7,560041
6,265771
3,912026
2,718330
2,508145
2,624932
2,692298
1,788154
1,717374
1,740254
1,803575
1,258163
1,350091
1,360176
1,338749
1,307103
1,265188
1,358257
1,231831
1,253608
1,283350
1,398994
1,392395
1,384243
1,389589
0,547135
0,531708
0,531639
0,531043
0,530124
0,531064
1,000750
3,121481
3,158822
3,164383
3,175911
3,243349
3,519318
3,256831
5,234615
6,311456
8,857292
6,274897
6,102165
6,007021
6,221804
6,190744
6,051147
6,150293
4,213060
3,034900
0,641268
0,549175
0,547037
0,547037
1,834614
2,970613
2,874109
4,140632
4,139954
6,250425
6,254911
7,177446
7,338325
7,192337
6,054094
4,819461
4,815113
3,639092
4,775135
3,774092
3,546330
3,673211
4,319049
5,058031
7,579633
8,190960
9,983030
8,927766
8,389634
7,210486
7,792074
6,630605
5,710391
4,534972
2,244635
1,238844
0,025697
0,001886
